benchmark,scenario,dataset,source_table,target_table,ncols_src,ncols_tgt,nrows_src,nrows_tgt,nmatches,method,runtime,mrr,All_Precision,All_F1Score,All_Recall,All_PrecisionTop10Percent,All_RecallAtSizeofGroundTruth,One2One_Precision,One2One_F1Score,One2One_Recall,One2One_PrecisionTop10Percent,One2One_RecallAtSizeofGroundTruth,type
valentine,,OpenData,miller2_both_50_1_ec_ev_source.csv,miller2_both_50_1_ec_ev_target.csv,26.0,26.0,11627.0,17440.0,1.0,Magneto,8.030333042144775,1.0,0.0384615384615384,0.074074074074074,1.0,0.3333333333333333,1.0,0.0714285714285714,0.1333333333333333,1.0,0.5,1.0,Joinable
valentine,,OpenData,miller2_both_50_1_ec_ev_source.csv,miller2_both_50_1_ec_ev_target.csv,26.0,26.0,11627.0,17440.0,1.0,MagnetoGPT,112.08174228668211,1.0,0.0625,0.1176470588235294,1.0,0.5,1.0,0.0714285714285714,0.1333333333333333,1.0,0.5,1.0,Joinable
valentine,,OpenData,miller2_both_50_1_ec_ev_source.csv,miller2_both_50_1_ec_ev_target.csv,26.0,26.0,11627.0,17440.0,1.0,MagnetoFT,7.894797325134277,1.0,0.0384615384615384,0.074074074074074,1.0,0.3333333333333333,1.0,0.0714285714285714,0.1333333333333333,1.0,0.5,1.0,Joinable
valentine,,OpenData,miller2_both_50_1_ec_ev_source.csv,miller2_both_50_1_ec_ev_target.csv,26.0,26.0,11627.0,17440.0,1.0,MagnetoFTGPT,119.61007285118104,1.0,0.0666666666666666,0.125,1.0,0.5,1.0,0.1,0.1818181818181818,1.0,1.0,1.0,Joinable
valentine,,OpenData,miller2_both_50_30_ac2_ev_source.csv,miller2_both_50_30_ac2_ev_target.csv,33.0,33.0,11627.0,17440.0,15.0,Magneto,9.83769392967224,0.9,0.3636363636363636,0.5000000000000001,0.8,0.75,0.7333333333333333,0.6111111111111112,0.6666666666666666,0.7333333333333333,0.5,0.7333333333333333,Joinable
valentine,,OpenData,miller2_both_50_30_ac2_ev_source.csv,miller2_both_50_30_ac2_ev_target.csv,33.0,33.0,11627.0,17440.0,15.0,MagnetoGPT,146.28467059135437,1.0,0.6521739130434783,0.7894736842105263,1.0,1.0,0.4,0.6818181818181818,0.8108108108108109,1.0,1.0,0.7333333333333333,Joinable
valentine,,OpenData,miller2_both_50_30_ac2_ev_source.csv,miller2_both_50_30_ac2_ev_target.csv,33.0,33.0,11627.0,17440.0,15.0,MagnetoFT,9.092092275619509,0.8333333333333334,0.303030303030303,0.4166666666666666,0.6666666666666666,0.75,0.6,0.5555555555555556,0.606060606060606,0.6666666666666666,0.5,0.6,Joinable
valentine,,OpenData,miller2_both_50_30_ac2_ev_source.csv,miller2_both_50_30_ac2_ev_target.csv,33.0,33.0,11627.0,17440.0,15.0,MagnetoFTGPT,149.74367761611938,1.0,0.5555555555555556,0.7142857142857143,1.0,1.0,0.4,0.625,0.7692307692307693,1.0,1.0,0.6,Joinable
valentine,,OpenData,miller2_both_50_50_ac3_ev_source.csv,miller2_both_50_50_ac3_ev_target.csv,38.0,38.0,11627.0,17440.0,25.0,Magneto,11.006189584732056,0.7783333333333334,0.4736842105263157,0.5714285714285714,0.72,1.0,0.6,0.7,0.6222222222222222,0.56,1.0,0.6,Joinable
valentine,,OpenData,miller2_both_50_50_ac3_ev_source.csv,miller2_both_50_50_ac3_ev_target.csv,38.0,38.0,11627.0,17440.0,25.0,MagnetoGPT,194.9624960422516,0.93015873015873,0.6470588235294118,0.7457627118644068,0.88,1.0,0.28,0.7096774193548387,0.7857142857142856,0.88,1.0,0.76,Joinable
